epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,359.519,0.32617,0.20672,0.29394,0.86404,0.99869,1,0.995,0.98125,0.99869,1,0.995,0.99381,0.2532,0.16299,0.26856,0.79079,0.0013862,0.0013862,0.0013862
33,366.376,0.29526,0.20357,0.28439,0.87207,0.99902,1,0.995,0.99372,0.99902,1,0.995,0.99013,0.1998,0.16345,0.23561,0.76689,0.0013664,0.0013664,0.0013664
34,384.433,0.28455,0.19683,0.28075,0.85606,0.99908,1,0.995,0.994,0.99908,1,0.995,0.99275,0.20888,0.16658,0.2397,0.78038,0.0013466,0.0013466,0.0013466
35,391.19,0.30346,0.21092,0.28142,0.85915,0.99904,1,0.995,0.99374,0.99904,1,0.995,0.99225,0.21941,0.17878,0.22338,0.77796,0.0013268,0.0013268,0.0013268
36,398.724,0.29809,0.18209,0.28026,0.85629,0.99427,1,0.995,0.9939,0.99427,1,0.995,0.99285,0.18292,0.17302,0.23459,0.76687,0.001307,0.001307,0.001307
37,405.495,0.29641,0.19386,0.27142,0.85288,0.99834,1,0.995,0.99401,0.99834,1,0.995,0.99329,0.19606,0.1569,0.22554,0.76634,0.0012872,0.0012872,0.0012872
38,426.335,0.28894,0.18081,0.2757,0.85556,0.99904,1,0.995,0.98787,0.99904,1,0.995,0.99308,0.20114,0.15348,0.22802,0.77153,0.0012674,0.0012674,0.0012674
39,433.532,0.27098,0.17617,0.26598,0.84877,0.99893,1,0.995,0.98866,0.99893,1,0.995,0.99296,0.18485,0.15088,0.20901,0.76625,0.0012476,0.0012476,0.0012476
40,440.279,0.27045,0.18032,0.26537,0.8525,0.99893,1,0.995,0.99394,0.99893,1,0.995,0.99296,0.1749,0.1664,0.20882,0.7632,0.0012278,0.0012278,0.0012278
41,447.064,0.25239,0.17039,0.24327,0.85021,0.99905,1,0.995,0.99391,0.99905,1,0.995,0.99337,0.17154,0.15087,0.19557,0.76066,0.001208,0.001208,0.001208
42,468.027,0.25664,0.16952,0.24594,0.86249,0.99902,1,0.995,0.98971,0.99902,1,0.995,0.995,0.21764,0.1473,0.21789,0.77479,0.0011882,0.0011882,0.0011882
43,475.283,0.25731,0.17143,0.23802,0.83947,0.99905,1,0.995,0.99394,0.99905,1,0.995,0.99151,0.19117,0.14595,0.21,0.77344,0.0011684,0.0011684,0.0011684
44,482.542,0.2535,0.18085,0.23732,0.83211,0.99846,1,0.995,0.99118,0.99846,1,0.995,0.99347,0.19429,0.16573,0.19378,0.76342,0.0011486,0.0011486,0.0011486
45,489.835,0.24959,0.17569,0.2464,0.83149,0.99889,1,0.995,0.99402,0.99889,1,0.995,0.99321,0.17896,0.15433,0.20084,0.76427,0.0011288,0.0011288,0.0011288
46,510.802,0.24767,0.17821,0.24101,0.85048,0.99903,1,0.995,0.99398,0.99903,1,0.995,0.99391,0.18229,0.15244,0.21153,0.76994,0.001109,0.001109,0.001109
47,518.076,0.25767,0.18926,0.2396,0.84227,0.999,1,0.995,0.99043,0.999,1,0.995,0.99386,0.18633,0.14765,0.20091,0.76725,0.0010892,0.0010892,0.0010892
48,525.595,0.24767,0.16985,0.22588,0.85101,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99245,0.16772,0.16354,0.18088,0.76019,0.0010694,0.0010694,0.0010694
49,532.844,0.25153,0.18511,0.22745,0.83974,0.99904,1,0.995,0.99383,0.99904,1,0.995,0.99376,0.16599,0.15727,0.17144,0.75738,0.0010496,0.0010496,0.0010496
50,553.308,0.23957,0.1618,0.22198,0.83704,0.999,1,0.995,0.995,0.999,1,0.995,0.99383,0.16196,0.16526,0.16754,0.76196,0.0010298,0.0010298,0.0010298
51,560.253,0.22699,0.15511,0.21808,0.84444,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99362,0.16539,0.15848,0.17812,0.75975,0.00101,0.00101,0.00101
52,566.741,0.23246,0.15765,0.21668,0.84438,0.99907,1,0.995,0.995,0.99907,1,0.995,0.99381,0.15078,0.15534,0.16103,0.7563,0.0009902,0.0009902,0.0009902
53,573.756,0.23094,0.15777,0.21117,0.84807,0.99903,1,0.995,0.995,0.99903,1,0.995,0.99375,0.16308,0.15324,0.16817,0.76032,0.0009704,0.0009704,0.0009704
54,591.329,0.22882,0.17004,0.21513,0.84048,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99303,0.1546,0.15329,0.16889,0.75641,0.0009506,0.0009506,0.0009506
55,597.896,0.23627,0.15766,0.21364,0.8347,0.99904,1,0.995,0.995,0.99904,1,0.995,0.99282,0.16586,0.15112,0.173,0.75698,0.0009308,0.0009308,0.0009308
56,604.429,0.2315,0.16261,0.20929,0.83589,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99318,0.15905,0.14796,0.17941,0.75855,0.000911,0.000911,0.000911
57,611.262,0.23699,0.16173,0.21854,0.83829,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99392,0.14,0.14808,0.17085,0.75383,0.0008912,0.0008912,0.0008912
58,617.771,0.23932,0.16054,0.21162,0.83854,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99378,0.15072,0.14601,0.15882,0.75506,0.0008714,0.0008714,0.0008714
59,624.25,0.22316,0.15291,0.21034,0.83574,0.99904,1,0.995,0.99406,0.99904,1,0.995,0.99383,0.14995,0.14655,0.15641,0.75542,0.0008516,0.0008516,0.0008516
60,630.728,0.24478,0.16001,0.22,0.84522,0.99905,1,0.995,0.99152,0.99905,1,0.995,0.99381,0.16509,0.14625,0.1615,0.7584,0.0008318,0.0008318,0.0008318
61,637.815,0.22059,0.15064,0.20452,0.84229,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99386,0.16549,0.14434,0.17777,0.76198,0.000812,0.000812,0.000812
62,644.323,0.22824,0.15975,0.21455,0.84365,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99289,0.18595,0.14706,0.17467,0.76476,0.0007922,0.0007922,0.0007922
63,651.244,0.23277,0.16783,0.21239,0.83431,0.99904,1,0.995,0.995,0.99904,1,0.995,0.9931,0.1817,0.14953,0.17525,0.76746,0.0007724,0.0007724,0.0007724
64,658.262,0.22248,0.15314,0.20146,0.84385,0.99907,1,0.995,0.9925,0.99907,1,0.995,0.99068,0.15326,0.14723,0.15324,0.75602,0.0007526,0.0007526,0.0007526
65,665.109,0.20606,0.15015,0.19682,0.83791,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99258,0.15957,0.1409,0.14437,0.76332,0.0007328,0.0007328,0.0007328
66,671.704,0.2168,0.15762,0.20425,0.83788,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99288,0.15034,0.14775,0.1549,0.75621,0.000713,0.000713,0.000713
67,678.15,0.22437,0.16923,0.20125,0.83835,0.99906,1,0.995,0.99394,0.99906,1,0.995,0.99394,0.15517,0.14569,0.16536,0.7582,0.0006932,0.0006932,0.0006932
68,685.082,0.21422,0.16323,0.19169,0.83066,0.99904,1,0.995,0.9928,0.99904,1,0.995,0.99367,0.14351,0.14667,0.13641,0.75659,0.0006734,0.0006734,0.0006734
69,691.503,0.20242,0.16841,0.18612,0.837,0.99902,1,0.995,0.99056,0.99902,1,0.995,0.99341,0.15911,0.1424,0.15863,0.7596,0.0006536,0.0006536,0.0006536
70,697.967,0.21564,0.16934,0.20242,0.84503,0.99904,1,0.995,0.99404,0.99904,1,0.995,0.99338,0.13728,0.13938,0.14906,0.75327,0.0006338,0.0006338,0.0006338
